CLAVE,NOMBRE,DESCRIPCION
060-004-0109-11,ABATELENGUAS DE MADERA,DESECHABLES 500 PIEZAS.
060-819-0021-11,ACETONA PARA USOS DIVERSOS,ENVASE 1000 ML
060-034-0103-13,AGUA OXIGENADA,ENVASE CON 480 ML. 
060-040-3710-99,AGUJA HIPODERMICA  CAL. 18 G,CAL. 18 G. ENV. 100 PZAS
060-040-3760-11,AGUJA HIPÓDERMICA CALIBRE 25 G,CAL. 25 G. ENV. 100 PZAS
060-040-3786-11,AGUJA HIPÓDERMICA CALIBRE 22 G,CAL. 22 G. ENV. 100 PZAS
060-040-3711-12,AGUJA HIPODÉRMICAS CALIBRE: 20 G,CAL. 20 G. ENV. 100 PZAS
060-040-3745-11,"AGUJA HIPODÉRMICAS, CALIBRE: 21 G",CAL. 21 G. ENV. 100 PZAS
060-999-0680-00,AGUJA PARA BIOPSIA REESTERILIZABLE MODELO JAMSHIDI CALIBRE 14 G,MODELO JAMSHIDI CALIBRE 14 G
060-999-0679-00,AGUJA PARA BIOPSIA DE HUESO  JAMSHIDI 16 G,MODELO JAMSHIDI CALIBRE 16 G
060-999-0678-00,AGUJA PARA BIOPSIA DE HUESO  JAMSHIDI 18G,MODELO JAMSHIDI CALIBRE 18 G
060-040-0543-04,AGUJA PARA RAQUIANESTESIA O BLOQUEO SUBARACNOIDEO,"TIPO: WHITACRE,  LONGITUD: 11.6 A 11.9 CM, CALIBRE: 27 G. PIEZA."
060-040-0544-99,"AGUJA RAQUEA NO. 27G, 8.7 A 9.1 CM","TIPO: WHITACRE,  LONGITUD: 8.7 A 9.1 CM, CALIBRE: 27 G. PIEZA."
060-999-1461-11,"AGUJA RAQUEA NO.27 G, 8.7 A 9.1 CM","TIPO: WHITACRE,  LONGITUD: 8.7 A 9.1 CM, CALIBRE: 27 G. PIEZA."
060-066-0773-12,ALCOHOL DESNATURALIZADO,ENVASE 20LTS
060-904-0100-11,ALGODÓN TORUNDAS,ENVASE 500GRS
060-058-0153-11,ALGODONES EN LÁMINAS,ENVASE 300GRS
060-066-0880-04,ALKACIDE SOL. ,CAJA CON 6 FRASCOS
060-066-0971-01,ALKAZYME DETERGENTE MULTIENZIMATICO COMP. Q,
